,name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,year,popularity,id
68284,Change The World,The Offspring,383507,0.11,0.355,0.261,3.0799999999999996e-05,11,0.4370000000000001,-5.322,1,0.048,166.06599999999997,0.966,1996,42,5DzeyaeuMS80NIKa43lng0
85385,Kiss from a Rose,Seal,288427,0.684,0.583,0.532,0.0,10,0.306,-7.11,0,0.0309,131.741,0.223,1995,73,3YKptz29AsOlm7WAVnztBh
85666,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,280000,0.732,0.428,0.276,5.33e-06,4,0.11699999999999999,-11.729000000000001,1,0.0312,99.195,0.0382,1998,75,33LC84JgLvK2KuW43MfaNq
85878,Smooth (feat. Rob Thomas),"Santana, Rob Thomas",294987,0.16,0.609,0.9229999999999999,4.73e-06,9,0.295,-3.908,1,0.0338,115.99600000000001,0.961,1999,69,0n2SEXB2qoRQg171q7XqeW
85973,Beautiful Day,U2,246400,0.013999999999999999,0.539,0.9259999999999999,0.0013599999999999999,2,0.36,-6.495,1,0.0499,136.279,0.45399999999999996,2000,64,1VuBmEauSZywQVtqbxNqka
86077,Fallin',Alicia Keys,210200,0.263,0.653,0.609,0.00101,11,0.233,-7.519,0,0.037000000000000005,95.98200000000001,0.48200000000000004,2001,73,3unsLiH5FXmaDWtT5Imolu
86194,Don't Know Why,Norah Jones,186147,0.883,0.732,0.198,1.1e-05,5,0.0659,-11.775,1,0.027999999999999997,88.17399999999998,0.618,2002,73,6ybViy2qrO9sIi41EgRJgx
86277,Daughters,John Mayer,237907,0.8370000000000001,0.674,0.413,1.91e-05,2,0.098,-7.816,1,0.0274,124.895,0.503,2004,68,5FPnjikbwlDMULCCCa6ZCJ
86601,Rehab,Amy Winehouse,213760,0.0473,0.434,0.872,1.83e-06,0,0.396,-2.9739999999999998,1,0.0702,71.515,0.732,2007,70,1L5tZi0izXsi5Kk5OJf4W0
86743,Viva La Vida,Coldplay,242373,0.0941,0.485,0.619,3.31e-06,5,0.109,-7.115,0,0.0289,138.017,0.41600000000000004,2008,79,1mea3bSkSGXuIRvnydlB5b
86820,Single Ladies (Put a Ring on It),Beyoncé,193213,0.0383,0.426,0.584,0.0,1,0.188,-5.292999999999998,1,0.29600000000000004,193.437,0.272,2009,69,5R9a4t5t5O0IsznsrKPVro
86973,Need You Now,Lady A,277573,0.0927,0.5870000000000001,0.622,0.0006360000000000001,4,0.2,-5.535,1,0.0303,107.943,0.231,2010,69,11EX5yhxr9Ihl3IN1asrfK
87260,Royals,Lorde,190185,0.121,0.674,0.428,0.0,7,0.132,-9.504,1,0.122,84.87799999999999,0.337,2013,77,2dLLR6qlu5UJ5gk0dKz0h3
87345,Stay With Me,Sam Smith,172724,0.588,0.418,0.42,6.39e-05,0,0.11,-6.444,1,0.0414,84.094,0.184,2014,82,5Nm9ERjJZ5oyfXZTECKmRt
87552,That's What I Like,Bruno Mars,206693,0.013000000000000001,0.853,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,0.86,2017,81,0KKkJNfGyhkQ5aFogxQAPU
87769,This Is America,Childish Gambino,225773,0.11699999999999999,0.8540000000000001,0.46299999999999997,0.0,5,0.354,-6.159,1,0.13699999999999998,120.024,0.5489999999999999,2018,83,0b9oOr2ZgvyQu88wzixux9
87863,bad guy,Billie Eilish,194088,0.32799999999999996,0.701,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,0.562,2019,91,2Fxmhks0bxGSBdJ92vM42m
95375,Sunny Came Home,Shawn Colvin,264200,0.344,0.5539999999999999,0.58,0.00842,11,0.0989,-8.05,0,0.0322,167.83,0.402,1997,57,4mOxpj82q6n3EO7HBZCelX
97377,Hello,Adele,295493,0.336,0.48100000000000004,0.451,0.0,5,0.0872,-6.095,0,0.0347,157.966,0.289,2016,72,4sPmO7WMQUAf45kwMOtONw
104559,A Whole New World (Aladdin's Theme),"Peabo Bryson, Regina Belle",243493,0.627,0.516,0.32,0.0,2,0.14400000000000002,-10.487,1,0.0303,107.89399999999999,0.131,1993,60,4tS8xQfyPGc7f4lJ1JP6BX
105611,Dance With My Father - Radio Version,Luther Vandross,266000,0.525,0.7390000000000001,0.341,1.1e-06,10,0.07200000000000001,-9.971,1,0.0378,80.958,0.231,2003,61,7snmvZMLdGGk3l9PcvoYSM
114562,Tears in Heaven,Eric Clapton,271760,0.835,0.498,0.242,0.536,9,0.133,-12.238,1,0.0257,153.744,0.312,1992,62,7utRJ4BeYx85khzP3lKoBX
132586,Unforgettable,Nat King Cole,207440,0.84,0.306,0.11699999999999999,0.00527,5,0.121,-18.713,1,0.0322,74.319,0.142,1991,48,3eQwtgoiVKbaYuX0ITe2fU
143665,Rolling In The Deep,Adele,228141,0.13,0.727,0.76,0.0,8,0.0584,-5.114,1,0.0297,104.941,0.54,2011,62,2GblQ918RbkOs4Yo1Rpkcj
167174,Streets of Philadelphia,Bruce Springsteen,252493,0.19399999999999998,0.708,0.19,0.226,5,0.0916,-16.578,1,0.0326,93.669,0.47,1994,38,5Nj8kBJdpJJ4I9wxQyp8JH
168226,Sometimes You Can't Make It On Your Own,U2,305080,0.00275,0.53,0.597,0.473,2,0.105,-5.652,1,0.0247,96.0,0.34600000000000003,2005,57,6fzcnVO0X2cpYjsHk19GJo
169912,Thinking Out Loud,Ed Sheeran,281560,0.474,0.781,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,0.591,2015,91,34gCuhDGsG4bRPIf9bb02f
169913,We Are Young,fun.,250627,0.02,0.378,0.638,7.66e-05,10,0.0849,-5.576,1,0.075,184.086,0.735,2012,87,5rgy6ghBq1eRApCkeUdJXf
169914,Not Ready To Make Nice,The Chicks,237297,0.134,0.425,0.554,8.56e-05,6,0.0963,-4.145,1,0.0298,83.917,0.288,2006,75,6LCEyZZHFF4ebF1Mike1s5
169915,From A Distance,Julie Gold,296227,0.865,0.448,0.168,0.0,7,0.654,-16.551,1,0.0519,125.294,0.327,1990,68,0U0FqXyoYZkrOMcVq7Eyzq
